id,username,password,user_type, email
1,shauniop,password@123,D, shauniop@email.com
2,elonmusk,spacex@123,D, elonmusk@email.com
3,jeffbezos,amazon@123,D, jeffbezos@email.com
4,google,google@123,D, google@email.com
5,netflix,netflix@123,D, netflix@email.com
6,charity1,charity1@123,C, charity1@email.com
7,charity2,charity2@123,C, charity2@email.com
8,charity3,charity3@123,C, charity3@email.com
9,charity4,charity4@123,C, charity4@email.com
10,charity5,charity5@123,C, ,charity5@email.com
11,volunteer1,volunteer1@123,V, ,volunteer1@email.com
12,volunteer2,volunteer2@123,V, ,volunteer2@email.com
13,volunteer3,volunteer3@123,V, ,volunteer3@email.com
14,volunteer4,volunteer4@123,V, ,volunteer4@email.com
15,volunteer5,volunteer5@123,V, ,volunteer5@email.com
16,volunteer6,volunteer6@123,V, ,volunteer6@email.com
17,volunteer7,volunteer7@123,V, ,volunteer7@email.com
